code,nav,percentage,createtime
000968,1.0508,-0.299,2020-01-14 14:56:00
000968,1.0509,-0.2897,2020-01-14 14:51:00
000968,1.0509,-0.2897,2020-01-14 14:57:00
000968,1.0509,-0.2897,2020-01-14 14:58:00
000968,1.0509,-0.2897,2020-01-14 14:59:00
000968,1.0509,-0.2897,2020-01-14 15:00:00
000968,1.051,-0.2803,2020-01-14 14:52:00
000968,1.051,-0.2803,2020-01-14 14:53:00
000968,1.051,-0.2803,2020-01-14 14:54:00
000968,1.051,-0.2803,2020-01-14 14:55:00
000968,1.0515,-0.2336,2020-01-14 13:11:00
000968,1.0515,-0.2336,2020-01-14 14:50:00
000968,1.0517,-0.2149,2020-01-14 13:10:00
000968,1.0517,-0.2149,2020-01-14 14:49:00
000968,1.052,-0.1869,2020-01-14 14:45:00
000968,1.0521,-0.1775,2020-01-14 13:13:00
000968,1.0521,-0.1775,2020-01-14 14:46:00
000968,1.0521,-0.1775,2020-01-14 14:47:00
000968,1.0521,-0.1775,2020-01-14 14:48:00
000968,1.0522,-0.1682,2020-01-14 14:44:00
000968,1.0523,-0.1588,2020-01-14 13:09:00
000968,1.0523,-0.1588,2020-01-14 13:12:00
000968,1.0523,-0.1588,2020-01-14 13:14:00
000968,1.0524,-0.1495,2020-01-14 13:00:00
000968,1.0524,-0.1495,2020-01-14 14:43:00
000968,1.0525,-0.1402,2020-01-14 13:04:00
000968,1.0525,-0.1402,2020-01-14 14:10:00
000968,1.0526,-0.1308,2020-01-14 13:03:00
000968,1.0526,-0.1308,2020-01-14 13:15:00
000968,1.0527,-0.1215,2020-01-14 13:01:00
000968,1.0527,-0.1215,2020-01-14 13:08:00
000968,1.0527,-0.1215,2020-01-14 14:11:00
000968,1.0527,-0.1215,2020-01-14 14:41:00
000968,1.0527,-0.1215,2020-01-14 14:42:00
000968,1.0528,-0.1121,2020-01-14 11:24:00
000968,1.0528,-0.1121,2020-01-14 11:25:00
000968,1.0528,-0.1121,2020-01-14 11:28:00
000968,1.0528,-0.1121,2020-01-14 13:02:00
000968,1.0528,-0.1121,2020-01-14 13:16:00
000968,1.0528,-0.1121,2020-01-14 14:04:00
000968,1.0529,-0.1028,2020-01-14 11:29:00
000968,1.0529,-0.1028,2020-01-14 11:30:00
000968,1.0529,-0.1028,2020-01-14 13:05:00
000968,1.0529,-0.1028,2020-01-14 13:06:00
000968,1.053,-0.0934,2020-01-14 11:26:00
000968,1.053,-0.0934,2020-01-14 13:07:00
000968,1.053,-0.0934,2020-01-14 14:03:00
000968,1.053,-0.0934,2020-01-14 14:09:00
000968,1.053,-0.0934,2020-01-14 14:12:00
000968,1.0531,-0.0841,2020-01-14 11:27:00
000968,1.0531,-0.0841,2020-01-14 14:06:00
000968,1.0531,-0.0841,2020-01-14 14:08:00
000968,1.0531,-0.0841,2020-01-14 14:15:00
000968,1.0531,-0.0841,2020-01-14 14:24:00
000968,1.0532,-0.0748,2020-01-14 14:07:00
000968,1.0532,-0.0748,2020-01-14 14:16:00
000968,1.0532,-0.0748,2020-01-14 14:17:00
000968,1.0532,-0.0748,2020-01-14 14:23:00
000968,1.0532,-0.0748,2020-01-14 14:25:00
000968,1.0532,-0.0748,2020-01-14 14:26:00
000968,1.0532,-0.0748,2020-01-14 14:40:00
000968,1.0533,-0.0654,2020-01-14 11:23:00
000968,1.0533,-0.0654,2020-01-14 14:05:00
000968,1.0533,-0.0654,2020-01-14 14:13:00
000968,1.0533,-0.0654,2020-01-14 14:27:00
000968,1.0533,-0.0654,2020-01-14 14:29:00
000968,1.0534,-0.0561,2020-01-14 11:22:00
000968,1.0534,-0.0561,2020-01-14 13:17:00
000968,1.0534,-0.0561,2020-01-14 14:14:00
000968,1.0534,-0.0561,2020-01-14 14:18:00
000968,1.0534,-0.0561,2020-01-14 14:28:00
000968,1.0534,-0.0561,2020-01-14 14:39:00
000968,1.0535,-0.0467,2020-01-14 10:05:00
000968,1.0535,-0.0467,2020-01-14 13:18:00
000968,1.0535,-0.0467,2020-01-14 13:33:00
000968,1.0535,-0.0467,2020-01-14 14:19:00
000968,1.0535,-0.0467,2020-01-14 14:22:00
000968,1.0535,-0.0467,2020-01-14 14:36:00
000968,1.0536,-0.0374,2020-01-14 14:02:00
000968,1.0536,-0.0374,2020-01-14 14:35:00
000968,1.0536,-0.0374,2020-01-14 14:38:00
000968,1.0537,-0.028,2020-01-14 13:19:00
000968,1.0537,-0.028,2020-01-14 13:54:00
000968,1.0537,-0.028,2020-01-14 14:01:00
000968,1.0537,-0.028,2020-01-14 14:20:00
000968,1.0537,-0.028,2020-01-14 14:37:00
000968,1.0538,-0.0187,2020-01-14 10:04:00
000968,1.0538,-0.0187,2020-01-14 11:21:00
000968,1.0538,-0.0187,2020-01-14 13:30:00
000968,1.0538,-0.0187,2020-01-14 13:32:00
000968,1.0538,-0.0187,2020-01-14 13:53:00
000968,1.0538,-0.0187,2020-01-14 14:00:00
000968,1.0538,-0.0187,2020-01-14 14:21:00
000968,1.0539,-0.0093,2020-01-14 13:20:00
000968,1.0539,-0.0093,2020-01-14 13:31:00
000968,1.0539,-0.0093,2020-01-14 13:52:00
000968,1.0539,-0.0093,2020-01-14 13:55:00
000968,1.0539,-0.0093,2020-01-14 13:59:00
000968,1.0539,-0.0093,2020-01-14 14:30:00
000968,1.0539,-0.0093,2020-01-14 14:34:00
000968,1.054,0,2020-01-14 11:20:00
000968,1.054,0,2020-01-14 13:26:00
000968,1.054,0,2020-01-14 13:51:00
000968,1.0541,0.0093,2020-01-14 09:36:00
000968,1.0541,0.0093,2020-01-14 13:24:00
000968,1.0541,0.0093,2020-01-14 13:25:00
000968,1.0541,0.0093,2020-01-14 13:29:00
000968,1.0541,0.0093,2020-01-14 13:34:00
000968,1.0541,0.0093,2020-01-14 13:56:00
000968,1.0541,0.0093,2020-01-14 13:58:00
000968,1.0541,0.0093,2020-01-14 14:31:00
000968,1.0542,0.0187,2020-01-14 13:22:00
000968,1.0542,0.0187,2020-01-14 13:23:00
000968,1.0542,0.0187,2020-01-14 13:28:00
000968,1.0542,0.0187,2020-01-14 13:57:00
000968,1.0542,0.0187,2020-01-14 14:32:00
000968,1.0543,0.028,2020-01-14 13:21:00
000968,1.0543,0.028,2020-01-14 13:27:00
000968,1.0543,0.028,2020-01-14 14:33:00
000968,1.0544,0.0374,2020-01-14 10:03:00
000968,1.0544,0.0374,2020-01-14 10:09:00
000968,1.0544,0.0374,2020-01-14 11:19:00
000968,1.0544,0.0374,2020-01-14 13:50:00
000968,1.0545,0.0467,2020-01-14 10:01:00
000968,1.0545,0.0467,2020-01-14 13:35:00
000968,1.0546,0.0561,2020-01-14 09:59:00
000968,1.0546,0.0561,2020-01-14 10:10:00
000968,1.0547,0.0654,2020-01-14 09:40:00
000968,1.0547,0.0654,2020-01-14 10:00:00
000968,1.0547,0.0654,2020-01-14 10:06:00
000968,1.0547,0.0654,2020-01-14 11:18:00
000968,1.0548,0.0748,2020-01-14 10:02:00
000968,1.0548,0.0748,2020-01-14 10:11:00
000968,1.0548,0.0748,2020-01-14 13:36:00
000968,1.0549,0.0841,2020-01-14 09:50:00
000968,1.0549,0.0841,2020-01-14 10:08:00
000968,1.0549,0.0841,2020-01-14 13:37:00
000968,1.055,0.0934,2020-01-14 09:35:00
000968,1.055,0.0934,2020-01-14 11:17:00
000968,1.055,0.0934,2020-01-14 13:38:00
000968,1.0551,0.1028,2020-01-14 09:58:00
000968,1.0551,0.1028,2020-01-14 10:12:00
000968,1.0551,0.1028,2020-01-14 11:13:00
000968,1.0551,0.1028,2020-01-14 11:14:00
000968,1.0551,0.1028,2020-01-14 13:39:00
000968,1.0552,0.1121,2020-01-14 09:34:00
000968,1.0552,0.1121,2020-01-14 09:49:00
000968,1.0552,0.1121,2020-01-14 10:07:00
000968,1.0552,0.1121,2020-01-14 11:12:00
000968,1.0552,0.1121,2020-01-14 11:15:00
000968,1.0552,0.1121,2020-01-14 11:16:00
000968,1.0553,0.1215,2020-01-14 09:41:00
000968,1.0553,0.1215,2020-01-14 09:42:00
000968,1.0553,0.1215,2020-01-14 09:51:00
000968,1.0553,0.1215,2020-01-14 10:13:00
000968,1.0553,0.1215,2020-01-14 11:09:00
000968,1.0554,0.1308,2020-01-14 11:10:00
000968,1.0554,0.1308,2020-01-14 11:11:00
000968,1.0554,0.1308,2020-01-14 13:40:00
000968,1.0554,0.1308,2020-01-14 13:45:00
000968,1.0554,0.1308,2020-01-14 13:46:00
000968,1.0554,0.1308,2020-01-14 13:49:00
000968,1.0555,0.1402,2020-01-14 09:57:00
000968,1.0555,0.1402,2020-01-14 13:41:00
000968,1.0556,0.1495,2020-01-14 09:45:00
000968,1.0556,0.1495,2020-01-14 09:52:00
000968,1.0556,0.1495,2020-01-14 11:08:00
000968,1.0556,0.1495,2020-01-14 13:47:00
000968,1.0556,0.1495,2020-01-14 13:48:00
000968,1.0557,0.1588,2020-01-14 10:14:00
000968,1.0557,0.1588,2020-01-14 11:07:00
000968,1.0557,0.1588,2020-01-14 13:44:00
000968,1.0558,0.1682,2020-01-14 09:30:00
000968,1.0558,0.1682,2020-01-14 09:46:00
000968,1.0558,0.1682,2020-01-14 09:47:00
000968,1.0558,0.1682,2020-01-14 09:53:00
000968,1.0558,0.1682,2020-01-14 09:54:00
